"time","tcol_co","anomaly_co"
200101,1.51887e+18,-4.90972e+16
200102,1.49295e+18,-2.92044e+16
200103,1.3411e+18,-1.1749e+17
200104,1.31824e+18,-1.01948e+17
200105,1.41044e+18,-5.33227e+16
200106,1.68051e+18,1.00241e+17
200107,2.04e+18,3.0276e+17
200108,2.40219e+18,2.90725e+17
200109,2.64206e+18,4.75115e+16
200110,2.47216e+18,-4.66534e+16
200111,1.94815e+18,-3.64252e+16
200112,1.63818e+18,-2.47316e+16
200201,1.5303e+18,-3.76647e+16
200202,1.52744e+18,5.27931e+15
200203,1.42506e+18,-3.35215e+16
200204,1.40396e+18,-1.6223e+16
200205,1.47084e+18,7.07137e+15
200206,1.59263e+18,1.23597e+16
200207,1.78471e+18,4.74639e+16
200208,2.1303e+18,1.88375e+16
200209,2.55919e+18,-3.53592e+16
200210,2.67149e+18,1.52671e+17
200211,1.98403e+18,-5.45495e+14
200212,1.53205e+18,-1.30859e+17
200301,1.56876e+18,7.93435e+14
200302,1.52376e+18,1.60625e+15
200303,1.44884e+18,-9.74731e+15
200304,1.44756e+18,2.73772e+16
200305,1.47565e+18,1.18834e+16
200306,1.60909e+18,2.88128e+16
200307,1.71336e+18,-2.38802e+16
200308,2.1349e+18,2.34344e+16
200309,2.55907e+18,-3.54843e+16
200310,2.70888e+18,1.90059e+17
200311,1.97029e+18,-1.42869e+16
200312,1.63112e+18,-3.17957e+16
200401,1.45313e+18,-1.14833e+17
200402,1.469e+18,-5.31534e+16
200403,1.47906e+18,2.04787e+16
200404,1.42176e+18,1.57615e+15
200405,1.45009e+18,-1.36749e+16
200406,1.54768e+18,-3.25927e+16
200407,1.74205e+18,4.80115e+15
200408,2.16147e+18,5.00066e+16
200409,2.62392e+18,2.93715e+16
200410,2.49988e+18,-1.89341e+16
200411,1.94692e+18,-3.76587e+16
200412,1.70339e+18,4.04813e+16
200501,1.57541e+18,7.44204e+15
200502,1.4984e+18,-2.37521e+16
200503,1.53395e+18,7.53594e+16
200504,1.49527e+18,7.50807e+16
200505,1.54641e+18,8.264e+16
200506,1.66869e+18,8.8415e+16
200507,1.70259e+18,-3.46581e+16
200508,2.35581e+18,2.44346e+17
200509,2.73199e+18,1.37437e+17
200510,2.70486e+18,1.86039e+17
200511,2.06139e+18,7.68156e+16
200512,1.64871e+18,-1.42046e+16
200601,1.48374e+18,-8.42249e+16
200602,1.43762e+18,-8.45358e+16
200603,1.33639e+18,-1.22193e+17
200604,1.33355e+18,-8.66346e+16
200605,1.38582e+18,-7.79442e+16
200606,1.50374e+18,-7.65301e+16
200607,1.62895e+18,-1.08289e+17
200608,2.06951e+18,-4.1951e+16
200609,2.58703e+18,-7.52506e+15
200610,2.41948e+18,-9.93359e+16
200611,1.96685e+18,-1.77215e+16
200612,1.65034e+18,-1.25676e+16
200701,1.60975e+18,4.17886e+16
200702,1.62582e+18,1.03664e+17
200703,1.5322e+18,7.36105e+16
200704,1.46419e+18,4.40019e+16
200705,1.50192e+18,3.8151e+16
200706,1.62265e+18,4.23719e+16
200707,1.74024e+18,2.99438e+15
200708,2.07183e+18,-3.96327e+16
200709,2.59368e+18,-8.74112e+14
200710,2.66897e+18,1.50152e+17
200711,1.98721e+18,2.63745e+15
200712,1.67163e+18,8.72009e+15
200801,1.55299e+18,-1.49784e+16
200802,1.50128e+18,-2.08735e+16
200803,1.39929e+18,-5.92972e+16
200804,1.42221e+18,2.01843e+15
200805,1.46433e+18,5.6295e+14
200806,1.55706e+18,-2.32174e+16
200807,1.73247e+18,-4.77257e+15
200808,2.0644e+18,-4.70572e+16
200809,2.59767e+18,3.11794e+15
200810,2.49732e+18,-2.14968e+16
200811,1.92811e+18,-5.64687e+16
200812,1.6128e+18,-5.01071e+16
200901,1.58258e+18,1.4615e+16
200902,1.37689e+18,-1.45266e+17
200903,1.37358e+18,-8.50078e+16
200904,1.36759e+18,-5.25971e+16
200905,1.43103e+18,-3.27345e+16
200906,1.57698e+18,-3.29606e+15
200907,1.66584e+18,-7.14056e+16
200908,1.94996e+18,-1.61504e+17
200909,2.26753e+18,-3.27027e+17
200910,2.30292e+18,-2.15893e+17
200911,1.86079e+18,-1.23785e+17
200912,1.63569e+18,-2.72202e+16
201001,1.5505e+18,-1.74633e+16
201002,1.50635e+18,-1.58064e+16
201003,1.48668e+18,2.80891e+16
201004,1.40345e+18,-1.67332e+16
201005,1.44712e+18,-1.66506e+16
201006,1.50493e+18,-7.53391e+16
201007,1.68304e+18,-5.41997e+16
201008,1.91112e+18,-2.00342e+17
201009,2.71776e+18,1.23208e+17
201010,3.06522e+18,5.46407e+17
201011,2.17521e+18,1.90638e+17
201012,1.67972e+18,1.68096e+16
201101,1.48674e+18,-8.12205e+16
201102,1.42539e+18,-9.67657e+16
201103,1.47039e+18,1.18064e+16
201104,1.42328e+18,3.08949e+15
201105,1.45097e+18,-1.27982e+16
201106,1.56858e+18,-1.16984e+16
201107,1.8097e+18,7.24536e+16
201108,2.02625e+18,-8.52117e+16
201109,2.48297e+18,-1.11587e+17
201110,2.34632e+18,-1.72497e+17
201111,1.9777e+18,-6.87442e+15
201112,1.70765e+18,4.47417e+16
201201,1.61331e+18,4.53436e+16
201202,1.59627e+18,7.4113e+16
201203,1.4782e+18,1.96092e+16
201204,1.48798e+18,6.77973e+16
201205,1.48523e+18,2.14636e+16
201206,1.61689e+18,3.66113e+16
201207,1.79743e+18,6.01886e+16
201208,2.21029e+18,9.88307e+16
201209,2.57254e+18,-2.20078e+16
201210,2.39477e+18,-1.24043e+17
201211,1.90612e+18,-7.84537e+16
201212,1.57903e+18,-8.38846e+16
201301,1.51897e+18,-4.89903e+16
201302,1.5223e+18,1.48572e+14
201303,1.4491e+18,-9.48452e+15
201304,1.40523e+18,-1.49612e+16
201305,1.48324e+18,1.94732e+16
201306,1.61917e+18,3.8898e+16
201307,1.79313e+18,5.58865e+16
201308,2.14926e+18,3.78034e+16
201309,2.6096e+18,1.50454e+16
201310,2.11987e+18,-3.98948e+17
201311,1.82149e+18,-1.63087e+17
201312,1.51562e+18,-1.47295e+17
201401,1.54665e+18,-2.13176e+16
201402,1.51832e+18,-3.83551e+15
201403,1.46482e+18,6.23299e+15
201404,1.41219e+18,-7.99881e+15
201405,1.4474e+18,-1.63702e+16
201406,1.56226e+18,-1.80108e+16
201407,1.66426e+18,-7.29816e+16
201408,1.9851e+18,-1.26359e+17
201409,2.3654e+18,-2.2915e+17
201410,2.3364e+18,-1.82418e+17
201411,2.02708e+18,4.25051e+16
201412,1.70606e+18,4.31474e+16
201501,1.63846e+18,7.0499e+16
201502,1.5978e+18,7.56434e+16
201503,1.50148e+18,4.28906e+16
201504,1.41103e+18,-9.16044e+15
201505,1.45326e+18,-1.05117e+16
201506,1.57439e+18,-5.8806e+15
201507,1.81561e+18,7.83641e+16
201508,2.1474e+18,3.59363e+16
201509,2.58218e+18,-1.23681e+16
201510,2.6042e+18,8.53798e+16
201511,2.22775e+18,2.43178e+17
201512,1.95556e+18,2.92652e+17
201601,1.82996e+18,2.61994e+17
201602,1.72773e+18,2.05575e+17
201603,1.65864e+18,2.00056e+17
201604,1.51399e+18,9.38063e+16
201605,1.48685e+18,2.30877e+16
201606,1.57534e+18,-4.93694e+15
201607,1.77607e+18,3.8822e+16
201608,2.07717e+18,-3.42891e+16
201609,2.67714e+18,8.25829e+16
201610,2.44347e+18,-7.53506e+16
201611,1.96409e+18,-2.04858e+16
201612,1.62615e+18,-3.67567e+16
