"time","tcol_co","anomaly_co"
200101,1.70776e+18,9.87775e+16
200102,1.62457e+18,5.37557e+16
200103,1.56182e+18,2.50624e+16
200104,1.45659e+18,-3.95405e+16
200105,1.45522e+18,-2.53802e+16
200106,1.64211e+18,1.28864e+17
200107,1.91896e+18,3.29464e+17
200108,2.20032e+18,2.69049e+17
200109,2.3833e+18,-8.80296e+16
200110,2.24343e+18,-1.21028e+17
200111,1.81483e+18,-1.13101e+17
200112,1.73105e+18,6.31821e+15
200201,1.60346e+18,-5.5223e+15
200202,1.59405e+18,2.3242e+16
200203,1.67009e+18,1.33336e+17
200204,1.51866e+18,2.25214e+16
200205,1.43611e+18,-4.44935e+16
200206,1.5355e+18,2.2257e+16
200207,1.63025e+18,4.07489e+16
200208,2.03225e+18,1.00974e+17
200209,2.41115e+18,-6.01856e+16
200210,2.59596e+18,2.31499e+17
200211,2.11266e+18,1.84731e+17
200212,1.67174e+18,-5.29895e+16
200301,1.59881e+18,-1.01749e+16
200302,1.60469e+18,3.38731e+16
200303,1.54758e+18,1.08302e+16
200304,1.51149e+18,1.53521e+16
200305,1.4895e+18,8.90137e+15
200306,1.58824e+18,7.49958e+16
200307,1.66823e+18,7.87293e+16
200308,1.96494e+18,3.36662e+16
200309,2.48117e+18,9.83733e+15
200310,2.16135e+18,-2.03107e+17
200311,1.8128e+18,-1.15131e+17
200312,1.7928e+18,6.8066e+16
200401,1.52805e+18,-8.09335e+16
200402,1.48698e+18,-8.38287e+16
200403,1.46736e+18,-6.9391e+16
200404,1.49539e+18,-7.45881e+14
200405,1.51144e+18,3.0843e+16
200406,1.56873e+18,5.5484e+16
200407,1.69954e+18,1.1004e+17
200408,1.95938e+18,2.81111e+16
200409,2.74634e+18,2.75008e+17
200410,2.39615e+18,3.16945e+16
200411,2.05957e+18,1.31644e+17
200412,1.80418e+18,7.94451e+16
200501,1.65703e+18,4.80533e+16
200502,1.52847e+18,-4.23414e+16
200503,1.52346e+18,-1.32931e+16
200504,1.52934e+18,3.32079e+16
200505,1.48641e+18,5.81133e+15
200506,1.47208e+18,-4.11693e+16
200507,1.6125e+18,2.30055e+16
200508,2.11293e+18,1.81661e+17
200509,2.78857e+18,3.17234e+17
200510,2.78283e+18,4.18371e+17
200511,1.95363e+18,2.57019e+16
200512,1.66576e+18,-5.89685e+16
200601,1.58628e+18,-2.26976e+16
200602,1.50634e+18,-6.44708e+16
200603,1.47968e+18,-5.70699e+16
200604,1.43178e+18,-6.43581e+16
200605,1.408e+18,-7.26053e+16
200606,1.51206e+18,-1.18871e+15
200607,1.54e+18,-4.95e+16
