"time","tcol_co","anomaly_co"
200101,1.58769e+18,1.18577e+17
200102,1.28561e+18,-1.13772e+17
200103,1.29045e+18,-8.01024e+16
200104,1.33654e+18,-5.51887e+16
200105,1.48375e+18,6.39725e+16
200106,1.54607e+18,1.26656e+17
200107,1.58183e+18,1.4641e+17
200108,1.73656e+18,1.74634e+17
200109,2.0196e+18,1.42949e+17
200110,1.94025e+18,-1.74235e+17
200111,1.92199e+18,-7.22903e+16
200112,1.68099e+18,3.94354e+16
200201,1.45368e+18,-1.5438e+16
200202,1.43368e+18,3.42989e+16
200203,1.39372e+18,2.31673e+16
200204,1.42478e+18,3.30512e+16
200205,1.43364e+18,1.38624e+16
200206,1.41333e+18,-6.0869e+15
200207,1.47832e+18,4.28999e+16
200208,1.63559e+18,7.36647e+16
200209,2.0647e+18,1.88047e+17
200210,2.52207e+18,4.07588e+17
200211,2.30624e+18,3.11958e+17
200212,1.68243e+18,4.08754e+16
200301,1.55455e+18,8.54365e+16
200302,1.41732e+18,1.79387e+16
200303,1.40987e+18,3.93174e+16
200304,1.39212e+18,3.91976e+14
200305,1.43004e+18,1.02655e+16
200306,1.49727e+18,7.7853e+16
200307,1.49181e+18,5.6393e+16
200308,1.57858e+18,1.66555e+16
200309,1.79519e+18,-8.14599e+16
200310,1.99257e+18,-1.21917e+17
200311,1.90105e+18,-9.32364e+16
200312,1.6268e+18,-1.47541e+16
200401,1.37683e+18,-9.22848e+16
200402,1.29818e+18,-1.01197e+17
200403,1.3328e+18,-3.77449e+16
200404,1.37017e+18,-2.15508e+16
200405,1.3778e+18,-4.19783e+16
200406,1.41146e+18,-7.95469e+15
200407,1.44877e+18,1.33545e+16
200408,1.54855e+18,-1.33717e+16
200409,1.86759e+18,-9.05695e+15
200410,2.4256e+18,3.11116e+17
200411,2.19853e+18,2.0425e+17
200412,1.69514e+18,5.35891e+16
200501,1.4256e+18,-4.35139e+16
200502,1.38743e+18,-1.19531e+16
200503,1.41609e+18,4.55368e+16
200504,1.41493e+18,2.32022e+16
200505,1.4544e+18,3.46188e+16
200506,1.43768e+18,1.82663e+16
200507,1.39108e+18,-4.43381e+16
200508,1.5588e+18,-3.1288e+15
200509,1.90641e+18,2.97613e+16
