"time","tcol_co","anomaly_co"
200101,1.34988e+18,-3.22424e+16
200102,1.28958e+18,-7.34126e+16
200103,1.2997e+18,-1.76487e+16
200104,1.22071e+18,-4.75833e+16
200105,1.23586e+18,-5.16384e+16
200106,1.30749e+18,-4.54622e+16
200107,1.41881e+18,-1.38804e+16
200108,1.61349e+18,-5.9733e+16
200109,1.89442e+18,-1.21228e+17
200110,1.9102e+18,-6.78903e+16
200111,1.5472e+18,-6.96233e+16
200112,1.34037e+18,-9.99706e+16
200201,1.38947e+18,7.35353e+15
200202,1.3124e+18,-5.05911e+16
200203,1.37966e+18,6.23058e+16
200204,1.33027e+18,6.19781e+16
200205,1.28778e+18,2.77214e+14
200206,1.31638e+18,-3.65715e+16
200207,1.43051e+18,-2.17964e+15
200208,1.71841e+18,4.51817e+16
200209,2.09551e+18,7.98636e+16
200210,2.11858e+18,1.40492e+17
200211,1.69655e+18,7.97319e+16
200212,1.43369e+18,-6.64449e+15
200301,1.35391e+18,-2.82055e+16
200302,1.41469e+18,5.1697e+16
200303,1.30585e+18,-1.15046e+16
200304,1.34883e+18,8.05319e+16
200305,1.32611e+18,3.86094e+16
200306,1.33613e+18,-1.68216e+16
200307,1.50687e+18,7.41783e+16
200308,1.67021e+18,-3.01445e+15
200309,1.98551e+18,-3.01339e+16
200310,2.21088e+18,2.32789e+17
200311,1.63491e+18,1.80949e+16
200312,1.4019e+18,-3.84345e+16
200401,1.33239e+18,-4.97294e+16
200402,1.26751e+18,-9.54831e+16
200403,1.30551e+18,-1.18379e+16
200404,1.29864e+18,3.03405e+16
200405,1.3102e+18,2.26964e+16
200406,1.3988e+18,4.58522e+16
200407,1.4616e+18,2.89049e+16
200408,1.71403e+18,4.07993e+16
200409,1.94382e+18,-7.18212e+16
200410,2.0451e+18,6.701e+16
200411,1.72186e+18,1.05044e+17
200412,1.46074e+18,2.0403e+16
200501,1.39546e+18,1.33398e+16
200502,1.30827e+18,-5.47248e+16
200503,1.29525e+18,-2.2104e+16
200504,1.30299e+18,3.4697e+16
200505,1.3204e+18,3.28956e+16
200506,1.40377e+18,5.08146e+16
200507,1.48242e+18,4.97308e+16
200508,1.80196e+18,1.28734e+17
200509,2.28431e+18,2.68665e+17
200510,2.23265e+18,2.54565e+17
200511,1.67509e+18,5.82672e+16
200512,1.3211e+18,-1.19237e+17
200601,1.35971e+18,-2.24146e+16
200602,1.31252e+18,-5.04705e+16
200603,1.22864e+18,-8.87113e+16
200604,1.19797e+18,-7.03293e+16
200605,1.16913e+18,-1.1837e+17
200606,1.33696e+18,-1.59896e+16
200607,1.41952e+18,-1.31665e+16
200608,1.58841e+18,-8.48214e+16
200609,2.13385e+18,1.18206e+17
200610,1.8425e+18,-1.35582e+17
200611,1.61852e+18,1.70081e+15
200612,1.51853e+18,7.8193e+16
200701,1.42743e+18,4.53138e+16
200702,1.41735e+18,5.43549e+16
200703,1.36042e+18,4.30703e+16
