"time","tcol_co","anomaly_co"
200101,1.50885e+18,1.07425e+17
200102,1.4757e+18,6.88289e+16
200103,1.44254e+18,6.80517e+16
200104,1.29556e+18,1.21473e+16
200105,1.19078e+18,-2.70194e+16
200106,1.36441e+18,7.60081e+16
200107,1.66341e+18,2.34607e+17
200108,1.89713e+18,3.28872e+16
200109,1.88284e+18,-1.9176e+17
200110,1.63478e+18,-1.36426e+17
200111,1.40901e+18,-8.75724e+16
200112,1.19757e+18,-2.13437e+17
200201,1.40754e+18,6.11603e+15
200202,1.37461e+18,-3.22665e+16
200203,1.60018e+18,2.25693e+17
200204,1.28301e+18,-3.97061e+14
200205,1.18608e+18,-3.17183e+16
200206,1.29176e+18,3.36492e+15
200207,1.42978e+18,9.73892e+14
200208,1.84123e+18,-2.30186e+16
200209,1.95325e+18,-1.21353e+17
200210,1.92844e+18,1.5724e+17
200211,1.78599e+18,2.89405e+17
200212,1.48245e+18,7.14437e+16
200301,1.50033e+18,9.89024e+16
200302,1.5231e+18,1.16227e+17
200303,1.41981e+18,4.53202e+16
200304,1.29834e+18,1.49264e+16
200305,1.20472e+18,-1.30739e+16
200306,1.28959e+18,1.1905e+15
200307,1.53757e+18,1.08764e+17
200308,1.81784e+18,-4.64046e+16
200309,2.02911e+18,-4.5492e+16
200310,1.59737e+18,-1.73831e+17
200311,1.43907e+18,-5.75182e+16
200312,1.42318e+18,1.21737e+16
200401,1.4147e+18,1.32711e+16
200402,1.4153e+18,8.43147e+15
200403,1.34975e+18,-2.47339e+16
200404,1.24661e+18,-3.68042e+16
200405,1.13867e+18,-7.91212e+16
200406,1.25011e+18,-3.82838e+16
200407,1.46403e+18,3.52252e+16
200408,1.8994e+18,3.51495e+16
200409,2.18229e+18,1.07688e+17
200410,1.76904e+18,-2.16727e+15
200411,1.46478e+18,-3.1806e+16
200412,1.42166e+18,1.06617e+16
200501,1.377e+18,-2.44246e+16
200502,1.33645e+18,-7.04203e+16
200503,1.3386e+18,-3.58892e+16
200504,1.25683e+18,-2.65822e+16
200505,1.18593e+18,-3.18623e+16
200506,1.25758e+18,-3.0819e+16
200507,1.52751e+18,9.87052e+16
200508,2.08786e+18,2.23616e+17
200509,2.26439e+18,1.89787e+17
200510,1.98661e+18,2.15407e+17
200511,1.51953e+18,2.29445e+16
200512,1.41726e+18,6.26158e+15
200601,1.3211e+18,-8.03228e+16
200602,1.3211e+18,-8.57776e+16
200603,1.30328e+18,-7.12119e+16
200604,1.27537e+18,-8.04389e+15
200605,1.23863e+18,2.08353e+16
200606,1.325e+18,3.66058e+16
200607,1.39724e+18,-3.1564e+16
200608,1.90132e+18,3.7074e+16
200609,2.10863e+18,3.40269e+16
200610,1.6303e+18,-1.40904e+17
200611,1.51213e+18,1.55424e+16
200612,1.42838e+18,1.73737e+16
200701,1.37951e+18,-2.1912e+16
200702,1.66406e+18,2.57186e+17
200703,1.49235e+18,1.17857e+17
200704,1.30883e+18,2.54228e+16
200705,1.27666e+18,5.88663e+16
200706,1.38222e+18,9.38239e+16
200707,1.42312e+18,-5.68393e+15
200708,1.98371e+18,1.19465e+17
200709,2.64329e+18,5.68691e+17
200710,2.05847e+18,2.87266e+17
200711,1.50776e+18,1.11794e+16
200712,1.36809e+18,-4.29137e+16
200801,1.40669e+18,5.26034e+15
200802,1.31374e+18,-9.31377e+16
200803,1.41151e+18,3.70173e+16
200804,1.30063e+18,1.72232e+16
200805,1.19728e+18,-2.0514e+16
