"time","anomaly"
19500101,-1.41,
19500201,-1.25,
19500301,-0.97,
19500401,-1.1,
19500501,-1.4,
19500601,-0.82,
19500701,-0.53,
19500801,-0.58,
19500901,-0.62,
19501001,-0.42,
19501101,-0.64,
19501201,-0.89,
19510101,-0.91,
19510201,-0.72,
19510301,-0.03,
19510401,0.14,
19510501,0.33,
19510601,0.1,
19510701,0.66,
19510801,0.59,
19510901,0.93,
19511001,0.85,
19511101,0.79,
19511201,0.57,
19520101,0.44,
19520201,0.36,
19520301,0.31,
19520401,0.52,
19520501,0.49,
19520601,0.05,
19520701,-0.01,
19520801,0,
19520901,0.18,
19521001,0.27,
19521101,0.05,
19521201,0.24,
19530101,0.62,
19530201,0.73,
19530301,0.58,
19530401,0.71,
19530501,0.67,
19530601,0.76,
19530701,0.68,
19530801,0.65,
19530901,0.77,
19531001,0.87,
19531101,0.66,
19531201,0.76,
19540101,0.67,
19540201,0.6,
19540301,0,
19540401,-0.6,
19540501,-0.54,
19540601,-0.38,
19540701,-0.5,
19540801,-0.74,
19540901,-0.83,
19541001,-0.59,
19541101,-0.41,
19541201,-0.63,
19550101,-0.44,
19550201,-0.58,
19550301,-0.64,
19550401,-0.79,
19550501,-0.69,
19550601,-0.6,
19550701,-0.5,
19550801,-0.61,
19550901,-0.71,
19551001,-1.57,
19551101,-1.82,
19551201,-1.52,
19560101,-0.75,
19560201,-0.48,
19560301,-0.46,
19560401,-0.72,
19560501,-0.35,
19560601,-0.42,
19560701,-0.49,
19560801,-0.56,
19560901,-0.35,
19561001,-0.4,
19561101,-0.57,
19561201,-0.41,
19570101,-0.33,
19570201,-0.07,
19570301,0.35,
19570401,0.58,
19570501,0.72,
19570601,0.78,
19570701,1.14,
19570801,1.21,
19570901,1.1,
19571001,1.12,
19571101,1.37,
19571201,1.54,
19580101,1.8,
19580201,1.65,
19580301,1.12,
19580401,0.71,
19580501,0.64,
19580601,0.67,
19580701,0.38,
19580801,0.36,
19580901,0.31,
19581001,0.52,
19581101,0.68,
19581201,0.52,
19590101,0.62,
19590201,0.61,
19590301,0.35,
19590401,0.3,
19590501,0.05,
19590601,-0.15,
19590701,-0.43,
19590801,-0.22,
19590901,-0.22,
19591001,0.04,
19591101,-0.15,
19591201,-0.03,
19600101,-0.11,
19600201,-0.2,
19600301,-0.14,
19600401,0.05,
19600501,-0.04,
19600601,-0.28,
19600701,-0.14,
19600801,0.29,
19600901,0.15,
19601001,0.04,
19601101,0.06,
19601201,-0.06,
19610101,0,
19610201,-0.03,
19610301,-0.09,
19610401,-0.11,
19610501,0.14,
19610601,0.33,
19610701,0.13,
19610801,-0.18,
19610901,-0.36,
19611001,-0.4,
19611101,-0.16,
19611201,-0.09,
19620101,-0.2,
19620201,-0.25,
19620301,-0.18,
19620401,-0.25,
19620501,-0.37,
19620601,-0.19,
19620701,-0.07,
19620801,-0.07,
19620901,-0.3,
19621001,-0.15,
19621101,-0.43,
19621201,-0.42,
19630101,-0.41,
19630201,-0.23,
19630301,0.16,
19630401,0.28,
19630501,0.01,
19630601,0.23,
19630701,0.84,
19630801,1.01,
19630901,1.12,
19631001,1.2,
19631101,1.13,
19631201,1.31,
