"time","anomaly"
19820101,-0.18,
19820201,-0.31,
19820301,-0.33,
19820401,-0.55,
19820501,-0.63,
19820601,-0.48,
19820701,-0.51,
19820801,-0.81,
19820901,-0.51,
19821001,-0.33,
19821101,-0.42,
19821201,-0.34,
19830101,0.09,
19830201,0.09,
19830301,-0.29,
19830401,-0.43,
19830501,-0.65,
19830601,-0.66,
19830701,-0.53,
19830801,-0.3,
19830901,-0.2,
19831001,-0.37,
19831101,-0.11,
19831201,0.15,
19840101,0.37,
19840201,0.41,
19840301,0.4,
19840401,0.22,
19840501,0.1,
19840601,0.34,
19840701,0.3,
19840801,0.59,
19840901,0.62,
19841001,0.38,
19841101,0.2,
19841201,0.16,
19850101,0.21,
19850201,0.25,
19850301,-0.07,
19850401,-0.11,
19850501,-0.07,
19850601,-0.14,
19850701,0.02,
19850801,0.07,
19850901,-0.04,
19851001,0.09,
19851101,0.13,
19851201,0.01,
19860101,-0.07,
19860201,0.18,
19860301,0.09,
19860401,0.01,
19860501,0.09,
19860601,0.19,
19860701,0.05,
19860801,0.13,
19860901,0.14,
19861001,-0.02,
19861101,-0.18,
19861201,-0.11,
19870101,-0.17,
19870201,-0.15,
19870301,-0.16,
19870401,-0.06,
19870501,0.09,
19870601,0.18,
19870701,0.24,
19870801,0.15,
19870901,0.13,
19871001,0.22,
19871101,0.46,
19871201,0.17,
19880101,0.49,
19880201,0.35,
19880301,0.42,
19880401,0.37,
19880501,0.49,
19880601,0.53,
19880701,0.41,
19880801,0.34,
19880901,0.12,
19881001,0.15,
19881101,-0.01,
19881201,0.07,
19890101,0.46,
19890201,0.16,
19890301,0.15,
19890401,0.14,
19890501,0.18,
19890601,0.15,
19890701,0.14,
19890801,0.33,
19890901,0.15,
19891001,0.12,
19891101,-0.18,
19891201,-0.5,
19900101,-0.57,
19900201,-0.14,
19900301,0.04,
19900401,0.11,
19900501,-0.2,
19900601,0.06,
19900701,-0.12,
19900801,-0.23,
19900901,-0.05,
19901001,0.07,
19901101,0.06,
19901201,0.11,
19910101,-0.15,
19910201,-0.21,
19910301,-0.09,
19910401,0.07,
19910501,0.31,
19910601,0.1,
19910701,-0.15,
19910801,-0.2,
19910901,-0.38,
19911001,-0.38,
19911101,-0.54,
19911201,-0.17,
19920101,-0.28,
19920201,-0.41,
19920301,-0.74,
19920401,-0.88,
19920501,-0.96,
19920601,-1.04,
19920701,-0.81,
19920801,-0.77,
19920901,-0.67,
19921001,-0.77,
19921101,-0.82,
19921201,-0.69,
19930101,-0.49,
19930201,-0.4,
19930301,-0.36,
19930401,-0.11,
19930501,-0.27,
19930601,-0.22,
19930701,-0.09,
19930801,-0.13,
19930901,0.41,
19931001,0.42,
19931101,0.58,
19931201,0.46,
19940101,0.1,
19940201,-0.12,
19940301,0.06,
19940401,0.14,
19940501,0.08,
19940601,-0.23,
19940701,-0.45,
19940801,-0.2,
19940901,-0.28,
19941001,-0.26,
19941101,0.03,
19941201,-0.1,
19950101,0.01,
19950201,0.28,
19950301,0.5,
19950401,0.53,
19950501,0.38,
19950601,0.39,
19950701,0.16,
19950801,-0.13,
19950901,-0.17,
19951001,-0.21,
19951101,-0.16,
19951201,-0.21,
19960101,-0.03,
19960201,0.26,
19960301,0.16,
19960401,0.41,
19960501,0.48,
19960601,0.53,
19960701,0.45,
19960801,0.3,
19960901,0.1,
19961001,-0.07,
19961101,-0.21,
19961201,-0.44,
19970101,-0.8,
19970201,-0.82,
19970301,-0.87,
19970401,-0.99,
19970501,-0.98,
19970601,-0.92,
19970701,-0.6,
19970801,-0.4,
19970901,-0.13,
19971001,0.37,
19971101,0.67,
19971201,0.82,
19980101,0.73,
19980201,0.43,
19980301,0.27,
19980401,0.27,
19980501,0.28,
19980601,0.36,
19980701,0.49,
19980801,0.13,
19980901,0.12,
19981001,-0.02,
19981101,0.14,
19981201,-0.16,
19990101,-0.35,
19990201,-0.27,
19990301,-0.13,
19990401,0.21,
19990501,0.23,
19990601,0.17,
19990701,0.42,
19990801,0.24,
19990901,0.04,
19991001,0.07,
19991101,0.03,
19991201,0.19,
20000101,-0.01,
20000201,0.14,
20000301,-0.05,
20000401,0.04,
20000501,0.07,
20000601,0.02,
20000701,-0.07,
20000801,0.1,
20000901,-0.01,
20001001,0,
20001101,-0.08,
20001201,-0.28,
20010101,-0.19,
20010201,-0.29,
20010301,-0.15,
20010401,0.01,
20010501,0.27,
20010601,0.13,
20010701,-0.08,
20010801,-0.08,
20010901,-0.19,
20011001,-0.06,
20011101,-0.1,
20011201,-0.34,
20020101,-0.35,
20020201,-0.48,
20020301,-0.18,
20020401,0.09,
20020501,0.22,
20020601,-0.02,
20020701,-0.13,
20020801,-0.21,
20020901,-0.26,
20021001,-0.12,
20021101,-0.37,
20021201,-0.06,
20030101,0.15,
20030201,0.32,
20030301,0.36,
20030401,0.15,
20030501,0.01,
20030601,-0.09,
20030701,0.31,
20030801,0.49,
20030901,0.38,
20031001,0.37,
20031101,0.42,
20031201,0.42,
20040101,0.2,
20040201,-0.13,
20040301,-0.41,
20040401,-0.62,
20040501,-0.48,
20040601,-0.36,
20040701,-0.09,
20040801,0.08,
20040901,0.18,
20041001,-0.18,
20041101,-0.07,
20041201,0.17,
20050101,0.44,
20050201,0.45,
20050301,0.29,
20050401,-0.09,
20050501,-0.35,
20050601,-0.53,
20050701,-0.32,
20050801,-0.11,
20050901,-0.09,
20051001,-0.04,
20051101,-0.09,
20051201,-0.15,
20060101,-0.22,
20060201,0.1,
20060301,0.25,
20060401,0.16,
20060501,0.22,
20060601,0.38,
20060701,0.33,
20060801,0.23,
20060901,0.18,
20061001,0.07,
20061101,0.03,
20061201,0.1,
20070101,0.1,
20070201,0,
20070301,-0.09,
20070401,0.07,
20070501,0.07,
20070601,0.18,
20070701,0.07,
20070801,-0.03,
20070901,0.08,
20071001,-0.13,
20071101,-0.09,
20071201,-0.02,
20080101,0.02,
20080201,0.28,
20080301,0.48,
20080401,0.48,
20080501,0.62,
20080601,0.48,
20080701,0.46,
20080801,0.35,
20080901,0.14,
20081001,0.09,
20081101,0.02,
20081201,0.2,
20090101,0.19,
20090201,0.19,
20090301,0.38,
20090401,0.48,
20090501,0.65,
20090601,0.38,
20090701,0.18,
20090801,0.13,
20090901,0.13,
20091001,0.2,
20091101,0.11,
20091201,0.41,
20100101,0.63,
20100201,0.45,
20100301,0.75,
20100401,0.58,
20100501,0.43,
20100601,0.59,
20100701,0.35,
20100801,0.16,
20100901,0.1,
20101001,0.2,
20101101,0.21,
20101201,0.15,
20110101,0.29,
20110201,0.45,
20110301,0.46,
20110401,0.49,
20110501,0.21,
20110601,0.01,
20110701,0.11,
