"time","tcol_co","anomaly_co"
200101,1.73973e+18,-1.27492e+17
200102,2.08868e+18,1.34739e+17
200103,1.8381e+18,-3.71541e+16
200104,1.56366e+18,-6.97754e+16
200105,1.66331e+18,1.01627e+17
200106,1.74713e+18,2.21767e+17
200107,1.77193e+18,2.4823e+17
200108,1.79266e+18,1.43378e+17
200109,1.80654e+18,-5.30211e+16
200110,1.69947e+18,-3.45355e+17
200111,1.69799e+18,-1.87701e+17
200112,1.93023e+18,1.97733e+17
200201,1.78219e+18,-8.50358e+16
200202,2.04773e+18,9.37944e+16
200203,2.14132e+18,2.66068e+17
200204,1.61921e+18,-1.42324e+16
200205,1.51075e+18,-5.09342e+16
200206,1.50926e+18,-1.61034e+16
200207,1.54031e+18,1.66118e+16
200208,1.81559e+18,1.66306e+17
200209,2.12759e+18,2.68028e+17
200210,2.55098e+18,5.06151e+17
200211,2.13384e+18,2.48146e+17
200212,1.80683e+18,7.43348e+16
200301,1.81928e+18,-4.79408e+16
200302,1.88048e+18,-7.34608e+16
200303,1.77912e+18,-9.61379e+16
200304,1.5254e+18,-1.08039e+17
200305,1.51044e+18,-5.12385e+16
200306,1.59765e+18,7.2286e+16
200307,1.54916e+18,2.54625e+16
200308,1.63867e+18,-1.06067e+16
200309,1.76103e+18,-9.85355e+16
200310,1.87346e+18,-1.71373e+17
200311,1.74181e+18,-1.43883e+17
200312,1.74451e+18,1.20146e+16
200401,1.79974e+18,-6.7479e+16
200402,2.01851e+18,6.45714e+16
200403,1.95275e+18,7.74983e+16
200404,1.62158e+18,-1.18569e+16
200405,1.55519e+18,-6.4922e+15
200406,1.55144e+18,2.60843e+16
200407,1.46732e+18,-5.63813e+16
200408,1.69258e+18,4.33015e+16
200409,1.91497e+18,5.54099e+16
200410,2.25635e+18,2.11518e+17
200411,2.20948e+18,3.2379e+17
200412,1.71072e+18,-2.17761e+16
200501,2.07501e+18,2.07784e+17
200502,2.19469e+18,2.40753e+17
200503,2.03602e+18,1.6076e+17
200504,1.74618e+18,1.12738e+17
200505,1.57178e+18,1.0099e+16
200506,1.48719e+18,-3.81661e+16
200507,1.5111e+18,-1.26003e+16
200508,1.66885e+18,1.9569e+16
200509,1.78917e+18,-7.03936e+16
200510,1.65989e+18,-3.84942e+17
200511,1.71989e+18,-1.65798e+17
200512,1.66806e+18,-6.4437e+16
200601,1.82813e+18,-3.90979e+16
200602,1.82885e+18,-1.25085e+17
200603,1.8495e+18,-2.57565e+16
200604,1.58445e+18,-4.8987e+16
200605,1.52486e+18,-3.68166e+16
200606,1.50388e+18,-2.14794e+16
200607,1.55077e+18,2.70711e+16
200608,1.79322e+18,1.43944e+17
200609,2.0272e+18,1.67632e+17
200610,2.7439e+18,6.99066e+17
200611,2.42574e+18,5.40045e+17
200612,1.92835e+18,1.95856e+17
200701,1.91289e+18,4.5669e+16
200702,2.02925e+18,7.53105e+16
200703,1.84295e+18,-3.231e+16
200704,1.70537e+18,7.19276e+16
200705,1.56433e+18,2.65051e+15
200706,1.44103e+18,-8.43254e+16
200707,1.4557e+18,-6.79954e+16
200708,1.52498e+18,-1.24303e+17
200709,1.79679e+18,-6.27724e+16
200710,1.94194e+18,-1.02893e+17
200711,1.79527e+18,-9.04174e+16
200712,1.79119e+18,5.86921e+16
200801,1.86813e+18,9.01187e+14
200802,1.89218e+18,-6.17575e+16
200803,1.51645e+18,-3.58804e+17
200804,1.50047e+18,-1.32972e+17
200805,1.65235e+18,9.06736e+16
200806,1.56304e+18,3.76771e+16
200807,1.50472e+18,-1.89811e+16
200808,1.54841e+18,-1.00876e+17
200809,1.62401e+18,-2.35549e+17
200810,1.60479e+18,-4.40035e+17
200811,1.5122e+18,-3.73492e+17
200812,1.60844e+18,-1.24054e+17
200901,1.81086e+18,-5.63652e+16
200902,1.96567e+18,1.17369e+16
200903,1.7058e+18,-1.69455e+17
200904,1.56404e+18,-6.93951e+16
200905,1.62041e+18,5.8727e+16
200906,1.56153e+18,3.61742e+16
200907,1.60405e+18,8.03511e+16
200908,1.77823e+18,1.28946e+17
200909,1.9639e+18,1.04339e+17
200910,2.01092e+18,-3.39125e+16
200911,1.84705e+18,-3.86425e+16
200912,1.85853e+18,1.26033e+17
201001,1.86453e+18,-2.69628e+15
201002,1.80406e+18,-1.49878e+17
201003,1.7144e+18,-1.60852e+17
201004,1.6556e+18,2.21635e+16
201005,1.5143e+18,-4.73756e+16
201006,1.36684e+18,-1.58519e+17
201007,1.33177e+18,-1.9193e+17
201008,1.48191e+18,-1.67372e+17
201009,1.47443e+18,-3.85135e+17
201010,1.62574e+18,-4.19086e+17
201011,1.62223e+18,-2.63467e+17
201012,1.59647e+18,-1.36028e+17
201101,1.721e+18,-1.46228e+17
201102,1.95011e+18,-3.82355e+15
201103,1.6447e+18,-2.3056e+17
201104,1.66236e+18,2.89247e+16
201105,1.55981e+18,-1.86889e+15
201106,1.53904e+18,1.36753e+16
201107,1.60604e+18,8.23395e+16
201108,1.73489e+18,8.56067e+16
201109,1.78851e+18,-7.10569e+16
201110,1.82173e+18,-2.23097e+17
201111,1.68533e+18,-2.00359e+17
201112,1.58813e+18,-1.44371e+17
201201,1.78072e+18,-8.65039e+16
201202,1.75199e+18,-2.01951e+17
201203,1.81345e+18,-6.18103e+16
201204,1.64272e+18,9.28318e+15
201205,1.60438e+18,4.27005e+16
201206,1.63834e+18,1.12981e+17
201207,1.59064e+18,6.69449e+16
201208,1.65182e+18,2.53863e+15
201209,1.99392e+18,1.34352e+17
201210,1.98022e+18,-6.46132e+16
201211,1.79599e+18,-8.97052e+16
201212,1.62342e+18,-1.09083e+17
201301,1.99172e+18,1.24498e+17
201302,1.74708e+18,-2.06854e+17
201303,1.95572e+18,8.04649e+16
201304,1.59592e+18,-3.7516e+16
201305,1.49991e+18,-6.17706e+16
201306,1.57305e+18,4.76909e+16
201307,1.5595e+18,3.57969e+16
201308,1.61192e+18,-3.73609e+16
201309,1.6503e+18,-2.09258e+17
201310,1.86454e+18,-1.80285e+17
