"time","tcol_co","anomaly_co"
200101,1.55695e+18,1.71745e+17
200102,1.26353e+18,-6.03114e+16
200103,1.22994e+18,-5.66767e+16
200104,1.24147e+18,-3.49652e+16
200105,1.35204e+18,7.01579e+16
200106,1.40009e+18,9.21143e+16
200107,1.43655e+18,6.36634e+16
200108,1.59751e+18,9.48811e+16
200109,1.881e+18,9.34611e+16
200110,1.73432e+18,-1.63437e+17
200111,1.56183e+18,-1.45389e+17
200112,1.43114e+18,-2.35153e+16
200201,1.32857e+18,-5.66349e+16
200202,1.29712e+18,-2.67253e+16
200203,1.31044e+18,2.38282e+16
200204,1.3221e+18,4.56673e+16
200205,1.31004e+18,2.81568e+16
200206,1.34793e+18,3.99578e+16
200207,1.43135e+18,5.84614e+16
200208,1.55908e+18,5.64526e+16
200209,1.88076e+18,9.32202e+16
200210,2.11464e+18,2.16884e+17
200211,1.99831e+18,2.91093e+17
200212,1.49791e+18,4.32507e+16
200301,1.49015e+18,1.0495e+17
200302,1.377e+18,5.31625e+16
200303,1.28621e+18,-3.9926e+14
200304,1.26988e+18,-6.55391e+15
200305,1.31851e+18,3.66287e+16
200306,1.34401e+18,3.60383e+16
200307,1.43343e+18,6.0542e+16
200308,1.51426e+18,1.16368e+16
200309,1.78055e+18,-6.98602e+15
200310,1.80516e+18,-9.25983e+16
200311,1.63456e+18,-7.26583e+16
200312,1.45515e+18,4.86809e+14
200401,1.28363e+18,-1.0157e+17
200402,1.29142e+18,-3.24234e+16
200403,1.25936e+18,-2.72502e+16
200404,1.27118e+18,-5.25896e+15
200405,1.24939e+18,-3.24851e+16
200406,1.34002e+18,3.20501e+16
200407,1.37708e+18,4.19161e+15
200408,1.52331e+18,2.06855e+16
200409,1.77586e+18,-1.16752e+16
200410,2.1061e+18,2.08341e+17
200411,1.71332e+18,6.10737e+15
200412,1.48466e+18,3.00061e+16
200501,1.3696e+18,-1.56059e+16
200502,1.33684e+18,1.30032e+16
200503,1.28658e+18,-3.68336e+13
200504,1.33528e+18,5.88411e+16
200505,1.32881e+18,4.69263e+16
200506,1.33541e+18,2.74368e+16
200507,1.37055e+18,-2.33344e+15
200508,1.55205e+18,4.9423e+16
200509,1.9509e+18,1.63356e+17
200510,1.97643e+18,7.86779e+16
200511,1.71057e+18,3.35571e+15
200512,1.47779e+18,2.31337e+16
200601,1.35594e+18,-2.92584e+16
200602,1.28246e+18,-4.13786e+16
200603,1.26508e+18,-2.15368e+16
200604,1.22646e+18,-4.99802e+16
200605,1.23638e+18,-4.54988e+16
200606,1.29353e+18,-1.44414e+16
200607,1.34213e+18,-3.07593e+16
200608,1.54423e+18,4.16074e+16
200609,1.86292e+18,7.5378e+16
200610,1.75717e+18,-1.4059e+17
200611,1.84934e+18,1.42123e+17
200612,1.54715e+18,9.24873e+16
200701,1.40738e+18,2.21784e+16
200702,1.4205e+18,9.66593e+16
200703,1.32014e+18,3.35307e+16
200704,1.31281e+18,3.63772e+16
200705,1.31694e+18,3.50592e+16
200706,1.3239e+18,1.59245e+16
200707,1.40667e+18,3.37854e+16
200708,1.52756e+18,2.49366e+16
200709,1.95254e+18,1.65e+17
200710,2.11877e+18,2.21016e+17
200711,1.73227e+18,2.50559e+16
200712,1.47825e+18,2.35893e+16
200801,1.36452e+18,-2.06766e+16
200802,1.30336e+18,-2.0479e+16
200803,1.31415e+18,2.75344e+16
200804,1.25893e+18,-1.75044e+16
200805,1.2773e+18,-4.58194e+15
200806,1.32713e+18,1.91561e+16
200807,1.40262e+18,2.97293e+16
200808,1.47832e+18,-2.4309e+16
200809,1.66066e+18,-1.26884e+17
200810,1.84334e+18,-5.44143e+16
200811,1.53193e+18,-1.75287e+17
200812,1.36798e+18,-8.66785e+16
200901,1.34422e+18,-4.09793e+16
200902,1.3181e+18,-5.73711e+15
200903,1.24534e+18,-4.12704e+16
200904,1.22534e+18,-5.10968e+16
200905,1.27119e+18,-1.06855e+16
200906,1.2797e+18,-2.82767e+16
200907,1.342e+18,-3.08876e+16
200908,1.45703e+18,-4.5602e+16
200909,1.57995e+18,-2.07592e+17
200910,1.66309e+18,-2.34664e+17
200911,1.62431e+18,-8.2904e+16
200912,1.42169e+18,-3.29658e+16
201001,1.31345e+18,-7.17543e+16
201002,1.28494e+18,-3.89043e+16
201003,1.24107e+18,-4.55458e+16
201004,1.23219e+18,-4.42487e+16
201005,1.26073e+18,-2.11484e+16
201006,1.28403e+18,-2.39421e+16
201007,1.33486e+18,-3.80303e+16
201008,1.4385e+18,-6.41242e+16
201009,1.76243e+18,-2.51146e+16
201010,1.99945e+18,1.01692e+17
201011,1.69569e+18,-1.1524e+16
201012,1.41531e+18,-3.93457e+16
201101,1.32703e+18,-5.81672e+16
201102,1.26514e+18,-5.87032e+16
201103,1.23545e+18,-5.11579e+16
201104,1.25103e+18,-2.54066e+16
201105,1.22956e+18,-5.23149e+16
201106,1.27593e+18,-3.20392e+16
201107,1.35194e+18,-2.09479e+16
201108,1.49227e+18,-1.03564e+16
201109,1.76813e+18,-1.9413e+16
201110,1.91814e+18,2.03884e+16
201111,1.67687e+18,-3.03465e+16
201112,1.38531e+18,-6.93495e+16
201201,1.38448e+18,-7.18531e+14
201202,1.32018e+18,-3.66041e+15
201203,1.28522e+18,-1.39336e+15
201204,1.26576e+18,-1.06771e+16
201205,1.28833e+18,6.45015e+15
201206,1.3048e+18,-3.16797e+15
201207,1.36359e+18,-9.29788e+15
201208,1.54128e+18,3.86548e+16
201209,1.74532e+18,-4.22237e+16
201210,1.96022e+18,6.24616e+16
201211,1.76164e+18,5.44294e+16
201212,1.48281e+18,2.81552e+16
201301,1.4263e+18,4.10942e+16
201302,1.28597e+18,-3.78742e+16
201303,1.2875e+18,8.8442e+14
201304,1.28662e+18,1.01864e+16
201305,1.28781e+18,5.92733e+15
201306,1.27611e+18,-3.18589e+16
201307,1.37865e+18,5.75746e+15
201308,1.45671e+18,-4.59174e+16
201309,1.69353e+18,-9.40115e+16
201310,1.70304e+18,-1.94715e+17
201311,1.53266e+18,-1.74557e+17
201312,1.34901e+18,-1.05648e+17
201401,1.37301e+18,-1.21895e+16
201402,1.33865e+18,1.48056e+16
201403,1.33308e+18,4.64628e+16
201404,1.32002e+18,4.35816e+16
201405,1.26629e+18,-1.55849e+16
201406,1.31704e+18,9.0718e+15
201407,1.35218e+18,-2.07064e+16
201408,1.45679e+18,-4.58359e+16
201409,1.64373e+18,-1.43812e+17
201410,1.80226e+18,-9.54957e+16
201411,1.74643e+18,3.9212e+16
201412,1.43124e+18,-2.34173e+16
201501,1.32674e+18,-5.84595e+16
201502,1.3687e+18,4.48594e+16
201503,1.3138e+18,2.71916e+16
201504,1.27212e+18,-4.32094e+15
201505,1.25089e+18,-3.09917e+16
201506,1.29932e+18,-8.65481e+15
201507,1.37039e+18,-2.50084e+15
201508,1.47454e+18,-2.80835e+16
201509,1.7781e+18,-9.44467e+15
201510,2.08684e+18,1.89086e+17
201511,2.0027e+18,2.9549e+17
201512,1.66612e+18,2.11465e+17
201601,1.48783e+18,1.02628e+17
201602,1.43195e+18,1.08109e+17
201603,1.39946e+18,1.12844e+17
201604,1.35449e+18,7.80498e+16
201605,1.33162e+18,4.97372e+16
201606,1.27456e+18,-3.34102e+16
201607,1.3319e+18,-4.09886e+16
201608,1.4571e+18,-4.55278e+16
201609,1.67438e+18,-1.13165e+17
201610,1.71163e+18,-1.86126e+17
201611,1.55272e+18,-1.54497e+17
201612,1.40139e+18,-5.32716e+16
