"time","tcol_co","anomaly_co"
200101,1.29183e+18,7.87942e+16
200102,1.25562e+18,5.53101e+16
200103,1.19992e+18,1.06736e+16
200104,1.12359e+18,-3.25324e+16
200105,1.12625e+18,-2.15982e+16
200106,1.21631e+18,1.61631e+16
200107,1.34398e+18,9.2892e+16
200108,1.47376e+18,8.26019e+16
200109,1.54679e+18,-3.54861e+16
200110,1.4595e+18,-1.37477e+17
200111,1.33964e+18,-9.76457e+16
200112,1.17692e+18,-9.70303e+16
200201,1.16686e+18,-4.61811e+16
200202,1.1473e+18,-5.30128e+16
200203,1.32331e+18,1.34063e+17
200204,1.15543e+18,-6.84446e+14
200205,1.15914e+18,1.12903e+16
200206,1.22258e+18,2.24355e+16
200207,1.26891e+18,1.78184e+16
200208,1.46219e+18,7.10294e+16
200209,1.60504e+18,2.27635e+16
200210,1.80752e+18,2.1054e+17
200211,1.66012e+18,2.22835e+17
200212,1.26619e+18,-7.75884e+15
200301,1.22066e+18,7.61714e+15
200302,1.31184e+18,1.11525e+17
200303,1.19869e+18,9.44247e+15
200304,1.18684e+18,3.07234e+16
200305,1.15646e+18,8.60636e+15
200306,1.23226e+18,3.21148e+16
200307,1.31651e+18,6.54179e+16
200308,1.40088e+18,9.71955e+15
200309,1.61405e+18,3.17723e+16
200310,1.57964e+18,-1.73371e+16
200311,1.42443e+18,-1.28541e+16
200312,1.28816e+18,1.42172e+16
200401,1.16051e+18,-5.25321e+16
200402,1.12635e+18,-7.39615e+16
200403,1.13203e+18,-5.72161e+16
200404,1.16884e+18,1.27183e+16
200405,1.11372e+18,-3.41274e+16
200406,1.21055e+18,1.03978e+16
200407,1.27023e+18,1.91435e+16
200408,1.40172e+18,1.05637e+16
200409,1.66432e+18,8.20405e+16
200410,1.66077e+18,6.37949e+16
200411,1.45387e+18,1.65826e+16
200412,1.29229e+18,1.83478e+16
200501,1.25414e+18,4.10986e+16
200502,1.14896e+18,-5.13572e+16
200503,1.1728e+18,-1.64444e+16
200504,1.17922e+18,2.31009e+16
200505,1.1755e+18,2.76459e+16
200506,1.19795e+18,-2.2015e+15
200507,1.25488e+18,3.794e+15
200508,1.44938e+18,5.82208e+16
200509,1.68406e+18,1.01784e+17
200510,1.70904e+18,1.12064e+17
200511,1.44891e+18,1.16225e+16
200512,1.26675e+18,-7.20084e+15
200601,1.20711e+18,-5.93241e+15
200602,1.17238e+18,-2.79313e+16
200603,1.16474e+18,-2.45012e+16
200604,1.09962e+18,-5.65027e+16
200605,1.12149e+18,-2.63645e+16
200606,1.18327e+18,-1.68759e+16
200607,1.2294e+18,-2.16881e+16
200608,1.40247e+18,1.13116e+16
200609,1.6022e+18,1.99248e+16
200610,1.60462e+18,7.64009e+15
200611,1.46158e+18,2.42878e+16
200612,1.38009e+18,1.0614e+17
200701,1.24876e+18,3.57257e+16
200702,1.24751e+18,4.71957e+16
200703,1.26199e+18,7.27464e+16
200704,1.20283e+18,4.67145e+16
200705,1.18136e+18,3.35092e+16
200706,1.24866e+18,4.85081e+16
200707,1.26343e+18,1.23402e+16
200708,1.35637e+18,-3.47828e+16
200709,1.92461e+18,3.42334e+17
200710,1.87479e+18,2.77807e+17
200711,1.48479e+18,4.75056e+16
200712,1.29396e+18,2.00089e+16
200801,1.21529e+18,2.24823e+15
200802,1.13325e+18,-6.70595e+16
200803,1.22632e+18,3.70768e+16
200804,1.14871e+18,-7.40686e+15
200805,1.14646e+18,-1.39336e+15
200806,1.19496e+18,-5.18598e+15
200807,1.27263e+18,2.15438e+16
200808,1.36055e+18,-3.0603e+16
200809,1.50136e+18,-8.09197e+16
200810,1.47318e+18,-1.238e+17
200811,1.3573e+18,-7.99844e+16
200812,1.19994e+18,-7.40072e+16
200901,1.10183e+18,-1.11205e+17
200902,1.18235e+18,-1.79657e+16
200903,1.18907e+18,-1.73723e+14
200904,1.17361e+18,1.74961e+16
200905,1.15149e+18,3.64138e+15
200906,1.17731e+18,-2.28388e+16
200907,1.24183e+18,-9.25858e+15
200908,1.31443e+18,-7.67293e+16
200909,1.38291e+18,-1.99366e+17
200910,1.43514e+18,-1.6184e+17
200911,1.40852e+18,-2.87727e+16
200912,1.2082e+18,-6.57445e+16
201001,1.15958e+18,-5.34617e+16
201002,1.20009e+18,-2.254e+14
201003,1.12947e+18,-5.97787e+16
201004,1.10156e+18,-5.45547e+16
201005,1.1348e+18,-1.30498e+16
201006,1.17843e+18,-2.17239e+16
201007,1.2405e+18,-1.05901e+16
201008,1.44128e+18,5.01216e+16
201009,1.58123e+18,-1.04591e+15
201010,1.66431e+18,6.73279e+16
201011,1.47132e+18,3.40267e+16
201012,1.30219e+18,2.82482e+16
201101,1.1932e+18,-1.98373e+16
201102,1.15721e+18,-4.30991e+16
201103,1.16786e+18,-2.13812e+16
201104,1.12174e+18,-3.43813e+16
201105,1.11179e+18,-3.6059e+16
201106,1.1886e+18,-1.15528e+16
201107,1.23736e+18,-1.37252e+16
201108,1.37378e+18,-1.73778e+16
201109,1.56046e+18,-2.18146e+16
201110,1.58028e+18,-1.6701e+16
201111,1.4375e+18,2.11106e+14
201112,1.26304e+18,-1.09078e+16
201201,1.24421e+18,3.1171e+16
201202,1.24737e+18,4.70529e+16
201203,1.14505e+18,-4.41951e+16
201204,1.16411e+18,7.99166e+15
201205,1.15342e+18,5.57308e+15
201206,1.17848e+18,-2.16712e+16
201207,1.2242e+18,-2.68846e+16
201208,1.40114e+18,9.98631e+15
201209,1.60207e+18,1.97897e+16
201210,1.60776e+18,1.07844e+16
201211,1.44987e+18,1.25853e+16
201212,1.29204e+18,1.8091e+16
201301,1.18709e+18,-2.59536e+16
201302,1.20615e+18,5.83786e+15
201303,1.1418e+18,-4.74413e+16
201304,1.1523e+18,-3.82046e+15
201305,1.14325e+18,-4.60235e+15
201306,1.21137e+18,1.12178e+16
201307,1.25114e+18,5.36012e+13
201308,1.33503e+18,-5.61246e+16
201309,1.43969e+18,-1.42592e+17
201310,1.45101e+18,-1.45964e+17
201311,1.29867e+18,-1.38615e+17
201312,1.23131e+18,-4.26337e+16
201401,1.22996e+18,1.69193e+16
201402,1.23275e+18,3.24399e+16
201403,1.17826e+18,-1.09892e+16
201404,1.12964e+18,-2.64819e+16
201405,1.13628e+18,-1.157e+16
201406,1.16099e+18,-3.91606e+16
201407,1.21879e+18,-3.23009e+16
201408,1.35464e+18,-3.65203e+16
201409,1.39728e+18,-1.84996e+17
201410,1.53729e+18,-5.96852e+16
201411,1.40768e+18,-2.96104e+16
201412,1.23417e+18,-3.9773e+16
201501,1.19142e+18,-2.16174e+16
201502,1.17809e+18,-2.22218e+16
201503,1.22568e+18,3.6432e+16
201504,1.15224e+18,-3.8788e+15
201505,1.14515e+18,-2.70446e+15
201506,1.18076e+18,-1.9391e+16
201507,1.20751e+18,-4.35815e+16
201508,1.34422e+18,-4.69379e+16
201509,1.53797e+18,-4.43051e+16
201510,1.62829e+18,3.13064e+16
201511,1.54884e+18,1.11548e+17
201512,1.42407e+18,1.50125e+17
201601,1.32518e+18,1.12145e+17
201602,1.28853e+18,8.82152e+16
201603,1.19811e+18,8.8644e+15
201604,1.23535e+18,7.92326e+16
201605,1.19494e+18,4.70865e+16
201606,1.23849e+18,3.83382e+16
201607,1.26833e+18,1.72436e+16
201608,1.37274e+18,-1.84142e+16
201609,1.48463e+18,-9.76478e+16
201610,1.47959e+18,-1.17387e+17
201611,1.35004e+18,-8.72531e+16
201612,1.26018e+18,-1.37642e+16
