"time","anomaly"
19811101,-0.276452,
19811201,-0.20634,
19820101,0.182273,
19820201,0.167764,
19820301,0.324189,
19820401,0.421615,
19820501,0.605374,
19820601,0.69816,
19820701,0.525792,
19820801,0.263781,
19820901,0.411435,
19821001,0.714334,
19821101,0.68323,
19821201,0.101788,
19830101,-0.264602,
19830201,-0.421848,
19830301,-0.695083,
19830401,-0.57664,
19830501,0.00499786,
19830601,0.494375,
19830701,0.631696,
19830801,0.459202,
19830901,0.181382,
19831001,0.0309398,
19831101,0.0624526,
19831201,-0.154682,
19840101,-0.270496,
19840201,-0.325575,
19840301,-0.0112707,
19840401,0.381541,
19840501,-0.359402,
19840601,-0.374606,
19840701,-0.414288,
19840801,-0.352691,
19840901,-0.374628,
19841001,-0.248823,
19841101,-0.329257,
19841201,-0.209369,
19850101,-0.127724,
19850201,-0.361872,
19850301,-0.114335,
19850401,-0.0806238,
19850501,0.16603,
19850601,-0.611245,
19850701,-0.445505,
19850801,-0.202999,
19850901,-0.113655,
19851001,-0.345565,
19851101,-0.0166006,
19851201,-0.155869,
19860101,-0.158768,
19860201,0.108844,
19860301,0.315956,
19860401,0.308384,
19860501,0.396105,
19860601,0.0277882,
19860701,-0.600856,
19860801,-0.173009,
19860901,0.00334505,
19861001,0.0187288,
19861101,0.149331,
19861201,-0.0259349,
19870101,-0.107308,
19870201,-0.196848,
19870301,-0.196156,
19870401,-0.148797,
19870501,0.316159,
19870601,-0.172717,
19870701,-0.278008,
19870801,0.18536,
19870901,0.547869,
19871001,0.323884,
19871101,0.162829,
19871201,0.00776708,
19880101,-0.00729143,
19880201,0.0552707,
19880301,-0.184226,
19880401,0.206564,
19880501,-0.359123,
19880601,-0.358404,
19880701,0.0198459,
19880801,0.168533,
19880901,0.155106,
19881001,-0.12134,
19881101,-0.228651,
19881201,0.187338,
19890101,-0.402159,
19890201,0.225285,
19890301,-0.0866659,
19890401,-0.0279545,
19890501,-0.200102,
19890601,-0.518346,
19890701,-0.247743,
19890801,-0.568895,
19890901,-0.241271,
19891001,-0.220232,
19891101,-0.261774,
19891201,-0.0833176,
19900101,0.385755,
19900201,-0.0203947,
19900301,0.0962044,
19900401,-0.0967954,
19900501,-0.304758,
19900601,-0.497112,
19900701,-0.223893,
19900801,-0.204915,
19900901,-0.46587,
19901001,-0.505855,
19901101,-0.238331,
