"time","anomaly"
19820101,0.15,
19820201,-0.02,
19820301,-0.02,
19820401,0.24,
19820501,0.69,
19820601,1.1,
19820701,0.88,
19820801,1.11,
19820901,1.39,
19821001,1.95,
19821101,2.16,
19821201,2.64,
19830101,2.79,
19830201,2.41,
19830301,1.81,
19830401,1.13,
19830501,1.04,
19830601,0.59,
19830701,-0.15,
19830801,-0.29,
19830901,-0.28,
19831001,-0.82,
19831101,-1.07,
19831201,-0.98,
19840101,-0.93,
19840201,-0.33,
19840301,-0.36,
19840401,-0.39,
19840501,-0.46,
19840601,-0.79,
19840701,-0.48,
19840801,-0.48,
19840901,-0.29,
19841001,-0.76,
19841101,-1.24,
19841201,-1.57,
19850101,-1.14,
19850201,-1.05,
19850301,-0.99,
19850401,-0.98,
19850501,-0.74,
19850601,-0.79,
19850701,-0.53,
19850801,-0.32,
19850901,-0.47,
19851001,-0.5,
19851101,-0.46,
19851201,-0.46,
19860101,-0.78,
19860201,-0.78,
19860301,-0.57,
19860401,-0.34,
19860501,-0.35,
19860601,0.04,
19860701,0.15,
19860801,0.33,
19860901,0.61,
19861001,0.88,
19861101,1.08,
19861201,1.13,
19870101,1.34,
19870201,1.3,
19870301,1.25,
19870401,1.02,
19870501,0.9,
19870601,1.38,
19870701,1.58,
19870801,1.76,
19870901,1.67,
19871001,1.38,
19871101,1.34,
19871201,1.03,
19880101,0.75,
19880201,0.5,
19880301,0.09,
19880401,-0.46,
19880501,-1.37,
19880601,-1.54,
19880701,-1.65,
19880801,-1.58,
19880901,-1.29,
19881001,-2.07,
19881101,-2.38,
19881201,-2.24,
19890101,-2.04,
19890201,-1.39,
19890301,-1.32,
19890401,-1.09,
19890501,-0.76,
19890601,-0.67,
19890701,-0.48,
19890801,-0.49,
19890901,-0.47,
19891001,-0.43,
19891101,-0.41,
19891201,-0.19,
19900101,-0.02,
19900201,0.23,
19900301,0.24,
19900401,0.24,
19900501,0.21,
19900601,-0.07,
19900701,0.03,
19900801,0.23,
19900901,0.03,
19901001,0.29,
19901101,0.07,
19901201,0.34,
19910101,0.44,
19910201,0.21,
19910301,0.03,
19910401,0.2,
19910501,0.5,
19910601,0.71,
19910701,0.7,
19910801,0.62,
19910901,0.35,
19911001,0.94,
19911101,1.21,
19911201,1.8,
19920101,1.84,
19920201,1.91,
19920301,1.61,
19920401,1.36,
19920501,1.14,
19920601,0.37,
19920701,0.31,
19920801,-0.18,
19920901,-0.24,
19921001,-0.35,
19921101,-0.14,
19921201,0.16,
19930101,0.12,
19930201,0.25,
19930301,0.44,
19930401,0.81,
19930501,0.97,
19930601,0.63,
19930701,0.33,
19930801,0.02,
19930901,0.2,
19931001,0.24,
19931101,0.26,
19931201,0.19,
19940101,0.03,
19940201,-0.13,
19940301,0.05,
19940401,0.12,
19940501,0.19,
19940601,0.34,
19940701,0.13,
19940801,0.53,
19940901,0.28,
19941001,0.8,
19941101,1.22,
19941201,1.3,
19950101,0.98,
19950201,0.73,
19950301,0.41,
19950401,0.15,
19950501,-0.12,
19950601,-0.06,
19950701,-0.21,
19950801,-0.49,
19950901,-0.76,
19951001,-1.02,
19951101,-0.99,
19951201,-1,
19960101,-0.83,
19960201,-0.87,
19960301,-0.6,
19960401,-0.42,
19960501,-0.48,
19960601,-0.33,
19960701,-0.13,
19960801,-0.26,
19960901,-0.37,
19961001,-0.45,
19961101,-0.46,
19961201,-0.55,
19970101,-0.61,
19970201,-0.36,
19970301,-0.19,
19970401,0.25,
19970501,0.75,
19970601,1.29,
19970701,1.7,
19970801,2.02,
19970901,2.21,
19971001,2.54,
19971101,2.67,
19971201,2.69,
19980101,2.53,
19980201,2.14,
19980301,1.45,
19980401,0.78,
19980501,0.62,
19980601,-0.93,
19980701,-1.28,
19980801,-1.33,
19980901,-1.11,
19981001,-1.35,
19981101,-1.47,
19981201,-1.78,
19990101,-1.67,
19990201,-1.31,
19990301,-0.97,
19990401,-0.94,
19990501,-0.88,
19990601,-1.05,
19990701,-0.87,
19990801,-1.23,
19990901,-1.01,
19991001,-1.05,
19991101,-1.53,
19991201,-1.67,
20000101,-1.92,
20000201,-1.53,
20000301,-1.14,
20000401,-0.77,
20000501,-0.73,
20000601,-0.62,
20000701,-0.5,
20000801,-0.37,
20000901,-0.51,
20001001,-0.73,
20001101,-0.87,
20001201,-0.98,
20010101,-0.83,
20010201,-0.61,
20010301,-0.38,
20010401,-0.26,
20010501,-0.25,
20010601,0.03,
20010701,0.1,
20010801,0.05,
20010901,-0.17,
20011001,-0.1,
20011101,-0.2,
20011201,-0.4,
20020101,-0.07,
20020201,0.23,
20020301,0.1,
20020401,0.16,
20020501,0.3,
20020601,0.78,
20020701,0.76,
20020801,0.97,
20020901,1.11,
20021001,1.36,
20021101,1.62,
20021201,1.52,
20030101,1.19,
20030201,0.77,
20030301,0.59,
20030401,0.03,
20030501,-0.48,
20030601,-0.17,
20030701,0.21,
20030801,0.03,
20030901,0.24,
20031001,0.5,
20031101,0.4,
20031201,0.32,
20040101,0.17,
20040201,0.14,
20040301,-0.12,
20040401,0.06,
20040501,0.21,
20040601,0.11,
20040701,0.47,
20040801,0.72,
20040901,0.75,
20041001,0.69,
20041101,0.66,
20041201,0.74,
20050101,0.53,
20050201,0.24,
20050301,0.33,
20050401,0.29,
20050501,0.35,
20050601,0.4,
20050701,0.25,
20050801,0.06,
20050901,-0.09,
20051001,0.06,
20051101,-0.31,
20051201,-0.68,
20060101,-0.93,
20060201,-0.64,
20060301,-0.65,
20060401,-0.19,
20060501,0.06,
20060601,0.2,
20060701,0.13,
20060801,0.4,
20060901,0.62,
20061001,0.78,
20061101,1.08,
20061201,1.19,
20070101,0.69,
20070201,0.09,
20070301,-0.04,
20070401,0,
20070501,-0.28,
20070601,-0.1,
20070701,-0.43,
20070801,-0.62,
20070901,-0.95,
20071001,-1.47,
20071101,-1.59,
20071201,-1.6,
20080101,-1.86,
20080201,-1.89,
20080301,-1.15,
20080401,-0.95,
20080501,-0.67,
20080601,-0.48,
20080701,-0.03,
20080801,0.03,
20080901,-0.28,
20081001,-0.36,
20081101,-0.35,
20081201,-0.83,
20090101,-1.03,
20090201,-0.68,
20090301,-0.55,
20090401,-0.27,
20090501,0.18,
20090601,0.47,
20090701,0.72,
20090801,0.71,
20090901,0.75,
20091001,0.94,
20091101,1.54,
20091201,1.72,
20100101,1.5,
20100201,1.22,
20100301,1.08,
20100401,0.59,
20100501,-0.17,
20100601,-0.65,
20100701,-1.13,
20100801,-1.32,
