"time","x_co","anomaly_co","x_co climatology","num_obs"
20010104,127.504,34.5617,92.9421,42
20010111,105.518,10.4605,95.0576,24
20010118,97.5112,-0.261615,97.7728,75
20010125,82.7129,-10.9074,93.6203,22
20010201,97.7216,1.98283,95.7387,23
20010208,117.764,17.6409,100.123,-9999
20010215,131.575,30.1549,101.42,10
20010222,127.149,26.0249,101.124,241
20010301,99.0811,4.83672,94.2443,85
20010308,117.333,16.6305,100.702,30
20010315,105.672,5.68277,99.9891,33
20010322,101.307,11.0968,90.2102,71
20010329,87.519,-0.654822,88.1738,22
20010405,84.2075,-0.27083,84.4783,75
20010412,88.0209,0.485429,87.5355,45
20010419,86.0109,5.55562,80.4553,104
20010426,88.194,11.4674,76.7265,63
20010503,94.5612,16.3368,78.2243,49
20010510,97.2817,21.0634,76.2183,-9999
20010517,97.2169,19.3083,77.9087,-9999
20010524,96.0758,19.839,76.2369,-9999
20010531,94.52,17.488,77.032,-9999
20010607,92.8037,18.4804,74.3233,-9999
20010614,91.0257,16.5847,74.441,-9999
20010621,89.225,12.5443,76.6807,-9999
20010628,87.4185,10.8066,76.6119,-9999
20010705,85.6179,10.7579,74.86,-9999
20010712,83.8401,10.1836,73.6565,-9999
20010719,82.1139,8.46794,73.6459,-9999
20010726,80.5614,3.71219,76.8492,-9999
20010802,79.4288,-0.343178,79.772,-9999
20010809,79.3804,0.10867,79.2717,-9999
20010816,82.1304,-2.71579,84.8462,-9999
20010823,92.1038,9.58951,82.5143,46
20010830,105.972,21.3963,84.5753,213
20010906,92.5434,5.05617,87.4873,74
20010913,90.7952,-4.91529,95.7104,94
20010920,103.841,7.63176,96.2095,96
20010927,92.3771,-4.43961,96.8167,36
20011004,93.6189,-5.2592,98.8781,41
20011011,92.9702,-7.18086,100.151,44
20011018,95.4559,-5.84127,101.297,73
20011025,94.8801,-7.15448,102.035,86
20011101,86.8202,-10.8024,97.6226,19
20011108,81.6353,-13.2156,94.8509,51
20011115,97.7681,5.95804,91.81,17
20011122,86.1143,-3.22517,89.3395,24
20011129,96.2217,8.04595,88.1757,42
20011206,100.684,13.641,87.0426,66
20011213,91.3198,6.60512,84.7147,55
20011220,94.7294,5.20235,89.5271,74
20011227,109.797,22.5954,87.2019,48
20020104,111.374,18.4321,92.9421,102
20020111,99.5117,4.45414,95.0576,93
20020118,81.8896,-15.8832,97.7728,52
20020125,85.3372,-8.2831,93.6203,74
20020201,107.675,11.9361,95.7387,120
20020208,114.347,14.2246,100.123,105
20020215,115.899,14.4792,101.42,84
20020222,102.424,1.30052,101.124,57
20020301,91.5704,-2.67397,94.2443,25
20020308,129.818,29.1157,100.702,119
20020315,108.336,8.34667,99.9891,110
20020322,93.2165,3.00638,90.2102,-9999
20020329,92.9102,4.73637,88.1738,262
20020405,96.2566,11.7783,84.4783,208
20020412,94.8409,7.30537,87.5355,54
20020419,78.3262,-2.12916,80.4553,99
20020426,71.9062,-4.82035,76.7265,81
20020503,71.9782,-6.24613,78.2243,63
20020510,73.6402,-2.57812,76.2183,92
20020517,80.3889,2.48026,77.9087,648
20020524,82.9573,6.72045,76.2369,317
20020531,83.6337,6.60175,77.032,185
20020607,77.0551,2.73179,74.3233,97
20020614,73.1089,-1.33209,74.441,32
20020621,83.3525,6.67178,76.6807,179
20020628,77.8328,1.2209,76.6119,347
20020705,80.2306,5.3706,74.86,411
20020712,78.0428,4.3863,73.6565,279
20020719,80.4493,6.80335,73.6459,374
20020726,87.1711,10.3219,76.8492,159
20020802,93.8574,14.0854,79.772,320
20020809,81.4285,2.15682,79.2717,164
20020816,110.805,25.9586,84.8462,594
20020823,101.262,18.7477,82.5143,293
20020830,122.04,37.4648,84.5753,172
20020906,99.6385,12.1513,87.4873,195
20020913,118.317,22.6069,95.7104,186
20020920,118.155,21.9454,96.2095,214
20020927,111.463,14.6462,96.8167,75
20021004,119.465,20.5871,98.8781,230
20021011,131.408,31.257,100.151,224
20021018,154.699,53.4019,101.297,187
20021025,132.006,29.9716,102.035,265
20021101,119.564,21.941,97.6226,120
20021108,114.399,19.548,94.8509,14
20021115,96.5195,4.70949,91.81,24
20021122,92.04,2.70051,89.3395,84
20021129,106.275,18.0997,88.1757,31
20021206,112.229,25.1867,87.0426,-9999
20021213,109.145,24.4302,84.7147,-9999
20021220,98.4748,8.94774,89.5271,13
20021227,85.7608,-1.44112,87.2019,44
20030104,99.8914,6.94931,92.9421,57
20030111,102.218,7.16066,95.0576,149
20030118,95.433,-2.33983,97.7728,51
20030125,99.89,6.26974,93.6203,116
20030201,88.1996,-7.53919,95.7387,91
20030208,114.445,14.3226,100.123,73
20030215,85.0362,-16.3835,101.42,73
20030222,99.8973,-1.22659,101.124,59
20030301,103.767,9.52243,94.2443,98
20030308,100.987,0.285098,100.702,147
20030315,94.9062,-5.08298,99.9891,133
20030322,87.6817,-2.52845,90.2102,110
20030329,78.4605,-9.71333,88.1738,34
20030405,76.4244,-8.05398,84.4783,156
20030412,75.5923,-11.9432,87.5355,237
20030419,78.8938,-1.56153,80.4553,122
20030426,72.2143,-4.51216,76.7265,24
20030503,69.6095,-8.61487,78.2243,50
20030510,73.2036,-3.01474,76.2183,47
20030517,82.68,4.7713,77.9087,361
20030524,79.2293,2.99249,76.2369,353
20030531,83.4006,6.36865,77.032,322
20030607,82.0563,7.73302,74.3233,352
20030614,88.1636,13.7226,74.441,293
20030621,72.6505,-4.03023,76.6807,147
