"time","anomaly"
19790104,0.380333,
19790111,-0.129429,
19790118,-0.301429,
19790125,0.953286,
19790201,1.10357,
19790208,0.688143,
19790215,-0.641143,
19790222,0.333714,
19790301,0.100429,
19790308,1.18771,
19790315,0.815286,
19790322,0.936143,
19790329,0.924143,
19790405,0.870143,
19790412,0.580429,
19790419,1.06329,
19790426,0.288,
19790503,-0.248857,
19790510,0.413286,
19790517,0.773429,
19790524,1.35343,
19790531,1.70429,
19790607,1.13986,
19790614,1.57514,
19790621,2.132,
19790628,1.50643,
19790705,2.39971,
19790712,2.94314,
19790719,2.008,
19790726,1.89414,
19790802,1.61357,
19790809,-0.808571,
19790816,-1.01043,
19790823,1.54957,
19790830,1.87743,
19790906,0.107857,
19790913,1.65143,
19790920,0.392286,
19790927,0.310143,
19791004,0.356857,
19791011,-0.759571,
19791018,0.251,
19791025,0.538714,
19791101,0.0625714,
19791108,-0.325429,
19791115,0.202857,
19791122,-0.521429,
19791129,-1.38014,
19791206,-1.80914,
19791213,-1.929,
19791220,-0.913857,
19791227,0.937125,
19800104,0.518857,
19800111,-0.823714,
19800118,-0.89,
19800125,-0.614,
19800201,-0.492143,
19800208,-1.02443,
19800215,-0.403571,
19800222,-0.969714,
19800229,-1.69229,
19800307,-0.701857,
19800314,-1.05571,
19800321,-1.16643,
19800328,-2.62143,
19800404,-2.469,
19800411,-2.91114,
19800418,-2.56614,
19800425,-0.66,
19800502,0.501286,
19800509,-0.374714,
19800516,-1.25686,
19800523,-0.595286,
19800530,-0.503571,
19800606,-0.462429,
19800613,0.898571,
19800620,1.41857,
19800627,-0.461429,
19800704,-1.47743,
19800711,-1.30386,
19800718,-1.53657,
19800725,-2.55757,
19800801,-2.43486,
19800808,-0.692429,
19800815,-0.368571,
19800822,-0.969571,
19800829,-1.52329,
19800905,-1.83043,
19800912,-2.286,
19800919,-1.94871,
19800926,-0.716857,
19801003,0.738,
19801010,1.58543,
19801017,1.15343,
19801024,0.0211429,
19801031,-1.67671,
19801107,-2.54214,
19801114,-2.11529,
19801121,-1.94457,
19801128,-1.17229,
19801205,-0.553714,
19801212,-0.258429,
19801219,-0.399857,
19801226,-0.165556,
19810104,0.0697143,
19810111,-0.107857,
19810118,-0.0692857,
19810125,0.864429,
19810201,0.214571,
19810208,0.327143,
19810215,0.563,
19810222,-0.453,
19810301,-1.74729,
19810308,-1.347,
19810315,-0.767,
19810322,0.401714,
19810329,-1.33357,
19810405,-3.30414,
19810412,-1.67471,
19810419,0.194857,
19810426,-0.711,
19810503,-1.20029,
19810510,-0.0955714,
19810517,-0.119143,
19810524,0.195143,
19810531,-0.881143,
19810607,0.288571,
19810614,0.931571,
19810621,0.661,
19810628,-0.0988571,
19810705,-0.535857,
19810712,-0.905286,
19810719,-0.467143,
19810726,-1.66429,
19810802,-1.86771,
19810809,-2.25371,
19810816,-4.00171,
19810823,-1.67543,
19810830,0.334143,
19810906,-1.29171,
19810913,-0.897429,
19810920,-1.83943,
19810927,-2.36843,
19811004,-2.25814,
19811011,-1.10214,
19811018,0.819286,
19811025,0.831286,
19811101,1.09886,
19811108,0.641429,
19811115,0.415,
19811122,0.999,
19811129,-0.00842857,
19811206,0.495,
19811213,1.662,
19811220,1.29114,
19811227,1.15737,
19820104,-0.479143,
19820111,-0.0502857,
19820118,-0.790429,
19820125,-0.747429,
19820201,-0.568286,
19820208,-0.325857,
19820215,-0.0572857,
19820222,1.18657,
19820301,1.47471,
19820308,2.131,
19820315,1.267,
19820322,0.589714,
19820329,2.17257,
19820405,1.09243,
19820412,2.12414,
19820419,0.986571,
19820426,1.56886,
19820503,1.37014,
19820510,0.766429,
19820517,-0.796714,
19820524,-0.800429,
19820531,0.722,
19820607,-0.0325714,
19820614,0.443429,
19820621,1.80129,
19820628,1.19786,
19820705,-0.762571,
19820712,-1.83343,
19820719,-0.555714,
19820726,1.07286,
19820802,0.976571,
19820809,0.731429,
19820816,0.358571,
19820823,0.415429,
19820830,1.25671,
19820906,1.24543,
19820913,2.30714,
19820920,1.52657,
19820927,1.18529,
19821004,0.214286,
19821011,-1.26971,
19821018,-1.10086,
19821025,-0.515857,
19821101,-0.357143,
19821108,-0.983286,
19821115,-0.449714,
19821122,-1.34443,
19821129,-0.993,
19821206,-0.760429,
19821213,-2.60186,
19821220,-2.02857,
19821227,-2.28038,
19830104,-1.29629,
19830111,-1.348,
19830118,-1.20714,
19830125,-1.19514,
19830201,-1.85143,
19830208,-2.71929,
19830215,-0.207857,
19830222,-0.0815714,
19830301,-0.198571,
19830308,-0.0415714,
19830315,0.920714,
19830322,0.519143,
19830329,-0.482429,
19830405,-0.270143,
19830412,-0.203429,
19830419,0.838429,
19830426,0.243857,
19830503,-0.758,
19830510,-0.0977143,
19830517,0.825714,
19830524,-0.954571,
19830531,-0.638143,
19830607,0.676429,
19830614,1.94443,
19830621,-2.12614,
19830628,-1.95114,
19830705,-0.00757143,
19830712,0.648286,
19830719,0.718857,
19830726,2.67414,
19830802,2.49014,
19830809,2.53314,
19830816,0.521143,
19830823,-0.569,
19830830,-1.43829,
19830906,-0.748857,
19830913,-2.07829,
19830920,-0.237857,
19830927,0.802714,
19831004,2.36329,
19831011,1.23586,
19831018,-1.10871,
19831025,1.64857,
19831101,1.95014,
19831108,0.594286,
19831115,-0.14,
19831122,0.576286,
19831129,1.14971,
19831206,0.473,
19831213,0.465429,
19831220,0.106714,
19831227,0.686875,
19840104,-0.538714,
19840111,-0.235857,
19840118,-1.393,
19840125,-1.53429,
19840201,-2.46871,
19840208,-1.21257,
19840215,0.546429,
19840222,-0.120429,
19840229,0.472,
19840307,-0.33,
19840314,0.370714,
19840321,0.290571,
19840328,0.334714,
19840404,-0.106,
19840411,-0.703429,
19840418,0.374429,
19840425,-0.385,
19840502,-0.252143,
19840509,-1.07543,
19840516,-2.79771,
19840523,-0.906286,
19840530,-0.158143,
19840606,0.512571,
19840613,0.551429,
19840620,0.507571,
19840627,0.0397143,
19840704,-0.805429,
19840711,0.312143,
19840718,1.49529,
19840725,2.31071,
19840801,0.0807143,
