"time","anomaly"
19811104,-0.227003,
19811111,-0.130635,
19811118,-0.0122283,
19811125,0.0231937,
19811202,-0.241531,
19811209,-0.325377,
19811216,-0.00400973,
19811223,0.270129,
19811230,0.33905,
19820106,0.465514,
19820113,0.101133,
19820120,-0.170432,
19820127,0.0977785,
19820203,0.446678,
19820210,0.396771,
19820217,0.110831,
19820224,-0.0258252,
19820303,0.101149,
19820310,0.247583,
19820317,0.261507,
19820324,0.191465,
19820331,0.183257,
19820407,0.132682,
19820414,0.14049,
19820421,0.166516,
19820428,0.417407,
19820505,0.529675,
19820512,0.56906,
19820519,0.485351,
19820526,0.494369,
19820602,0.295925,
19820609,-0.0196605,
19820616,0.131498,
19820623,0.269964,
19820630,0.342045,
19820707,0.136023,
19820714,-0.121113,
19820721,0.129099,
19820728,0.325876,
19820804,0.358543,
19820811,0.558259,
19820818,0.640382,
19820825,0.624914,
19820901,0.435066,
19820908,0.259147,
19820915,0.141652,
19820922,0.00330648,
19820929,0.026564,
19821006,0.0668032,
19821013,0.09192,
19821020,-0.14014,
19821027,-0.314118,
19821103,-0.0737136,
19821110,-0.0874479,
19821117,-0.225717,
19821124,-0.23706,
19821201,-0.264185,
19821208,-0.363555,
19821215,-0.46578,
19821222,-0.635938,
19821229,-0.897094,
19830105,-0.863577,
19830112,-1.00342,
19830119,-0.850171,
19830126,-0.64928,
19830202,-0.467787,
19830209,-0.29581,
19830216,-0.0647704,
19830223,0.106544,
19830302,0.43713,
19830309,0.802561,
19830316,0.959335,
19830323,0.993069,
19830330,0.931346,
19830406,1.12546,
19830413,1.40388,
19830420,1.23143,
19830427,1.12985,
19830504,1.02134,
19830511,0.724449,
19830518,0.860376,
19830525,0.923251,
19830601,0.832766,
19830608,0.854844,
19830615,0.922626,
19830622,0.739062,
19830629,0.437312,
19830706,0.51114,
19830713,0.703166,
19830720,0.472342,
19830727,0.177949,
19830803,0.113203,
19830810,0.134245,
19830817,-0.0932965,
19830824,-0.121253,
19830831,-0.0598242,
19830907,-0.184199,
19830914,-0.220071,
19830921,-0.0765141,
19830928,0.142099,
19831005,0.1994,
19831012,0.0830607,
19831019,0.19314,
19831026,-0.00957809,
19831102,-0.12366,
19831109,0.00670804,
19831116,-0.08211,
19831123,0.0370805,
19831130,0.24798,
19831207,0.0987248,
19831214,-0.215503,
19831221,-0.136797,
19831228,-0.382451,
19840104,-0.526846,
19840111,-0.773943,
19840118,-1.09387,
19840125,-1.19999,
19840201,-1.13764,
19840208,-1.02603,
19840215,-0.837738,
19840222,-0.877726,
19840229,-0.864437,
19840307,-0.922981,
19840314,-0.639695,
19840321,-0.61219,
19840328,-0.667419,
19840404,-0.4209,
19840411,-0.265994,
19840418,-0.318489,
19840425,-0.596356,
19840502,-0.610451,
19840509,-0.368203,
19840516,-0.230639,
19840523,-0.282112,
19840530,-0.198487,
19840606,-0.235961,
19840613,-0.516166,
19840620,-0.725892,
19840627,-0.773477,
19840704,-0.644004,
19840711,-0.383266,
19840718,-0.42334,
19840725,-0.378075,
19840801,-0.194882,
19840808,-0.359042,
19840815,-0.587061,
19840822,-0.858129,
19840829,-1.13746,
19840905,-0.926044,
19840912,-0.801647,
19840919,-0.878293,
19840926,-0.873893,
19841003,-0.79937,
19841010,-0.768959,
19841017,-0.897144,
19841024,-0.905618,
19841031,-0.905106,
19841107,-0.946585,
19841114,-1.06081,
19841121,-1.03999,
19841128,-0.799397,
19841205,-0.675979,
19841212,-0.9176,
19841219,-0.966311,
19841226,-0.598819,
19850102,-0.439319,
19850109,-0.490412,
19850116,-0.6699,
19850123,-0.836217,
19850130,-0.923068,
19850206,-0.861391,
19850213,-0.854738,
19850220,-0.899563,
19850227,-1.12193,
19850306,-1.08476,
19850313,-0.867436,
19850320,-0.903512,
19850327,-0.878124,
19850403,-0.912028,
19850410,-0.777267,
19850417,-0.785754,
19850424,-0.804415,
19850501,-0.704502,
19850508,-0.812371,
19850515,-0.922965,
19850522,-1.00773,
19850529,-1.06361,
19850605,-0.701627,
19850612,-0.342869,
19850619,-0.110696,
19850626,-0.0255269,
19850703,-0.0555199,
19850710,-0.149541,
19850717,-0.119877,
19850724,-0.14715,
19850731,0.0410387,
19850807,-0.0181579,
19850814,-0.340052,
19850821,-0.0087318,
19850828,0.30952,
19850904,0.0406523,
19850911,-0.0375888,
19850918,-0.0604363,
19850925,0.0896918,
19851002,-0.00159275,
19851009,-0.0816334,
19851016,-0.232997,
19851023,-0.324298,
19851030,-0.268792,
19851106,-0.162782,
19851113,-0.175087,
19851120,-0.200659,
19851127,-0.0530329,
19851204,-0.0744011,
19851211,-0.188171,
19851218,-0.484323,
19851225,-0.552944,
19860101,-0.612712,
19860108,-0.510669,
19860115,-0.717929,
19860122,-1.03721,
19860129,-1.21805,
19860205,-1.17369,
19860212,-1.02078,
19860219,-1.22851,
19860226,-1.09205,
19860305,-0.983855,
19860312,-0.961472,
19860319,-1.00565,
19860326,-1.20737,
19860402,-1.13822,
19860409,-1.06152,
19860416,-0.858733,
19860423,-0.979984,
19860430,-1.07521,
19860507,-0.855007,
19860514,-1.00524,
19860521,-0.994034,
19860528,-1.05177,
19860604,-1.16653,
19860611,-0.781066,
19860618,-0.708953,
19860625,-0.903002,
19860702,-0.904085,
19860709,-0.949004,
19860716,-0.856222,
19860723,-0.320863,
19860730,-0.395391,
19860806,-0.683316,
19860813,-0.788739,
19860820,-0.74913,
